id,Hate_speech,Reference-counternarrative,Target
testCN-0,Los niños con síndrome de Down pueden entorpecer el proceso de desarrollo de otros niños. Deben ser aislados.,"Los niños con síndrome de Down tienen habilidades y talentos únicos, y su inclusión en el aula puede enriquecer y mejorar la experiencia educativa de todos los estudiantes. La diversidad y la aceptación son valores fundamentales para el desarrollo de una sociedad comprensiva y tolerante.",DISCAPACITADOS
testCN-1,"Los retrasados de hoy en día son tan estúpidos como cuando eran pequeños. Se creen tan especiales que saben leer, escribir y ser creativos. Ahora es su mundo.","Creo que estás subestimando el potencial y las habilidades de las personas con discapacidades. Todos tenemos diferentes habilidades y talentos, y es importante celebrar y apoyar el crecimiento y el éxito de cada individuo, independientemente de sus desafíos.",DISCAPACITADOS
testCN-2,Los discapacitados no pueden hacer frente a la vida.,"Las personas con discapacidades son capaces de enfrentarse a la vida de diferentes maneras y, a menudo, demuestran una increíble resiliencia y adaptabilidad. No debemos subestimar sus habilidades y potencial para llevar una vida plena y significativa.",DISCAPACITADOS
testCN-3,"Los discapacitados son diferentes a nosotros, no quiero que me molesten.","Las personas con discapacidades son tan valiosas y merecedoras de respeto como cualquier otra persona. La diversidad en nuestra sociedad es lo que nos hace fuertes y nos permite aprender unos de otros. Es importante tratar a todos con empatía y comprensión, independientemente de sus diferencias.",DISCAPACITADOS
testCN-4,Los discapacitados físicos merecen ser utilizados.,"Los discapacitados físicos, como cualquier otra persona, merecen respeto, igualdad de oportunidades y dignidad en sus vidas. No se les debe tratar de manera diferente o inferior debido a su discapacidad. La empatía y la inclusión son fundamentales en una sociedad justa y equitativa.",DISCAPACITADOS
testCN-5,los ciegos no saben lo que pasa,"Las personas ciegas pueden tener una percepción diferente del mundo, pero eso no significa que no sean conscientes de lo que ocurre a su alrededor. De hecho, a menudo desarrollan habilidades y sentidos más agudos para compensar la falta de visión. No subestimemos su capacidad de comprensión y adaptación.",DISCAPACITADOS
testCN-6,Los profesores y los padres deben negar la asistencia a la escuela a los niños con dificultades de aprendizaje.,"Todos los niños, independientemente de sus habilidades o dificultades de aprendizaje, tienen derecho a recibir una educación de calidad y a ser parte de un entorno inclusivo y solidario. Negarles la asistencia a la escuela sería una discriminación injusta y perjudicial para su desarrollo y bienestar.",DISCAPACITADOS
testCN-7,Las personas con discapacidad no deben ser escuchadas.,Las personas con discapacidades tienen igual derecho a ser escuchadas y respetadas como cualquier otra persona. Sus opiniones y experiencias son igualmente valiosas y pueden aportar una perspectiva única e importante a cualquier conversación o situación.,DISCAPACITADOS
testCN-8,"Los niños discapacitados son una carga para la sociedad: deben ser aislados, para que al menos no obstaculicen la educación de los niños normales.","Los niños con discapacidades son miembros valiosos de nuestra sociedad y tienen derecho a una educación y oportunidades adecuadas, al igual que todos los niños. La inclusión y el apoyo en el entorno educativo beneficia a todos, tanto a los niños con discapacidades como a aquellos sin ellas, al fomentar la empatía, la comprensión y la diversidad.",DISCAPACITADOS
testCN-9,Todos los judíos son criminales.,"Este es un estereotipo negativo e infundado. Los judíos, al igual que cualquier otro grupo de personas, tienen individuos con diferentes características y comportamientos. No es justo ni preciso etiquetar a toda una comunidad basándose en las acciones de unos pocos.",JUDÍOS
testCN-10,Los judíos son responsables de los atentados del 11-S.,"Esta afirmación es infundada y no tiene base en hechos reales. Hacer afirmaciones de este tipo solo contribuye a la propagación de teorías de conspiración y odio, en lugar de promover la comprensión y la tolerancia entre las diferentes comunidades y culturas.",JUDÍOS
testCN-11,Los judíos se diferencian de nosotros en que les gusta aprovecharse de los demás.,No estoy de acuerdo con esta afirmación. Generalizar y estereotipar a un grupo entero de personas basándose en su religión o cultura es injusto y no constructivo. Es importante recordar que las acciones de un individuo no representan a toda una comunidad.,JUDÍOS
testCN-12,Los judíos no son más que criminales,Los judíos son una comunidad religiosa y cultural diversa que ha contribuido significativamente al progreso y desarrollo de la sociedad a lo largo de la historia. Estereotipar a un grupo entero de personas como criminales es injusto e ignorante. Es importante reconocer y celebrar las diferencias culturales y religiosas.,JUDÍOS
testCN-13,A los judíos se les da mejor ser furtivos que honestos.,"Esta afirmación es un estereotipo negativo y ofensivo que no tiene base en la realidad. Las personas de todas las religiones y orígenes pueden ser honestas y furtivas, no se trata de una característica exclusiva de un grupo en particular. Debemos juzgar a las personas por sus acciones y carácter, no por su religión o etnia.",JUDÍOS
testCN-14,"No soy un promotor del nazismo ni hago apología de la Shoah, pero, al fin y al cabo, los judíos son la fuente de todos los problemas del mundo.","Este tipo de comentarios perpetúan estereotipos negativos y no contribuyen a un entendimiento constructivo de la diversidad cultural y religiosa. Es importante recordar que los problemas del mundo son resultado de acciones y decisiones tomadas por individuos y grupos, no por una religión o grupo étnico en particular. En lugar de culpar a los demás, deberíamos trabajar juntos para encontrar soluciones y promover la tolerancia y el respeto.",JUDÍOS
testCN-15,"Las estructuras de poder judías dominan el gobierno mundial, controlan el Congreso, controlan los medios de comunicación y controlan el mundo académico. Los judíos son los únicos que pueden conseguir que se haga algo.","Esta afirmación es falsa e injusta. No se puede generalizar a todo un grupo de personas y atribuirles un control desmedido. Los individuos, independientemente de su origen, pueden lograr cambios y tener éxito en diversos campos sin atribuirlo a una conspiración global. Debemos celebrar la diversidad y no caer en teorías de conspiración sin fundamento.",JUDÍOS
testCN-16,Los judíos son un problema en muchos países. Se están apoderando de nuestra economía y no son bienvenidos aquí.,"Los judíos, al igual que cualquier otro grupo religioso o étnico, son parte integral de nuestra sociedad, contribuyendo al crecimiento económico y cultural de nuestro país. No es justo ni correcto generalizar a todo un grupo de personas basándose en estereotipos negativos.",JUDÍOS
testCN-17,Los judíos son un puñado de tacaños que controlan nuestra sociedad.,Esta afirmación es un estereotipo negativo y perjudicial que no refleja la realidad de la diversidad y la contribución de la comunidad judía en nuestra sociedad. Es importante reconocer y celebrar las diferencias culturales y religiosas en lugar de perpetuar estigmas dañinos.,JUDÍOS
testCN-18,¿Por qué los gays no intentan curarse?,"Ser gay no es una enfermedad que necesite cura, sino una orientación sexual válida y natural. Es importante respetar y aceptar a las personas tal como son y no tratar de cambiarlas basándonos en nuestros prejuicios o creencias personales.",LGBT+
testCN-19,La homosexualidad es incompatible con los modos de vida de Europa.,"La diversidad y la inclusión son fundamentales en una sociedad europea moderna y democrática. La homosexualidad es una parte natural y válida de la vida humana, y no hay razón para considerarla incompatible con los valores y modos de vida en Europa.",LGBT+
testCN-20,Que aceptemos la homosexualidad no significa que tengamos que aceptar también a los transexuales.,"Aceptar y respetar a las personas, independientemente de su orientación sexual o identidad de género, es simplemente tratar a todos con igualdad y dignidad. La inclusión y la diversidad enriquecen nuestra sociedad y nos permiten aprender unos de otros.",LGBT+
testCN-21,¿Qué sentido tiene amar a alguien si no se le puede amar de forma heterosexual?,"El amor no tiene fronteras y no se limita a una orientación sexual específica. Todas las formas de amor son igualmente válidas y valiosas, y lo importante es el respeto y el cuidado entre las personas involucradas, independientemente de si es heterosexual, homosexual o bisexual.",LGBT+
testCN-22,los gays son sólo sexo,"Las personas LGBTQ+ tienen relaciones tan diversas y significativas como cualquier otra persona, y reducir su existencia solamente al sexo es una perspectiva limitada e injusta. Es importante reconocer y respetar las emociones, el amor y las conexiones humanas en todas sus formas.",LGBT+
testCN-23,Los homosexuales son menos que humanos.,"Creo que este tipo de comentarios no aportan nada positivo a la conversación y sólo fomentan la discriminación. Las personas homosexuales merecen el mismo respeto y consideración que cualquier otro individuo, sin importar su orientación sexual. Todos somos seres humanos y merecemos ser tratados con igualdad y respeto.",LGBT+
testCN-24,"Los maricones no son bienvenidos entre nosotros, los humanos, porque son diferentes.","Todos somos humanos y merecemos respeto y comprensión, independientemente de nuestra orientación sexual. La diversidad es lo que nos hace fuertes y enriquece nuestras vidas y comunidades.",LGBT+
testCN-25,La Biblia dice que la homosexualidad es una abominación,"La Biblia también enseña el amor, la compasión y la tolerancia hacia los demás. Es importante recordar que las interpretaciones de las escrituras pueden variar y que no debemos usarlas para difamar o juzgar a los demás.",LGBT+
testCN-26,Los LGBT son un lastre para la sociedad.,"Las personas LGBT son parte integral de nuestra sociedad y han contribuido enormemente en diversos campos. La diversidad y la inclusión son valores fundamentales que enriquecen y fortalecen nuestras comunidades. Respetar y aceptar a todos, independientemente de su orientación sexual, es esencial para fomentar una sociedad justa y equitativa.",LGBT+
testCN-27,"Los gays deben dejar de actuar como princesas paseando por las calles. Si no, debemos detenerlos.","Creo que todos merecen el derecho a expresarse y vivir sus vidas como deseen, siempre y cuando no perjudiquen a los demás. La diversidad y la aceptación son fundamentales en una sociedad sana y próspera.",LGBT+
testCN-28,El mundo sería un lugar mejor sin inmigrantes.,"El mundo es un lugar diverso y enriquecedor debido a las contribuciones de personas de diferentes orígenes y culturas. Los inmigrantes han sido fundamentales en el desarrollo de ciencia, arte, tecnología y sociedad en general. La diversidad nos hace más fuertes y crea un entorno de aprendizaje y crecimiento para todos.",MIGRANTES
testCN-29,Los inmigrantes y refugiados no comparten nuestros valores religiosos.,"Es importante recordar que la diversidad cultural y religiosa es lo que enriquece a nuestra sociedad. Las diferencias en valores y creencias pueden ofrecer oportunidades para aprender y crecer juntos, en lugar de ser una barrera divisoria.",MIGRANTES
testCN-30,Los inmigrantes están invadiendo nuestro país. No son bienvenidos aquí.,Los inmigrantes han sido parte de la historia de la humanidad y han aportado diversidad y riqueza cultural a las sociedades en las que se integran. Debemos recordar la importancia de la empatía y la comprensión hacia las personas que buscan una vida mejor y oportunidades en un país diferente al suyo.,MIGRANTES
testCN-31,extranjeros e inmigrantes nos quitan el trabajo,"Los inmigrantes a menudo ocupan puestos de trabajo que los locales no están dispuestos a realizar y, en muchos casos, contribuyen significativamente a la economía y la diversidad cultural de un país. Es importante recordar que el empleo no es un recurso limitado y que, en lugar de culpar a los inmigrantes, debemos centrarnos en mejorar las oportunidades para todos.",MIGRANTES
testCN-32,"Estamos siendo invadidos, debemos luchar hasta vencer a los inmigrantes.","La inmigración es un fenómeno complejo que ha existido a lo largo de la historia. En lugar de verlo como una ""invasión"", deberíamos centrarnos en cómo podemos trabajar juntos para construir sociedades más inclusivas y solidarias que celebren la diversidad y fomenten el entendimiento mutuo.",MIGRANTES
testCN-33,"La inmigración es la causa de nuestras desgracias, los inmigrantes son los responsables de nuestros problemas.","La inmigración es un tema complejo y no se puede culpar a los inmigrantes por todos los problemas que enfrentamos en nuestra sociedad. Es importante recordar que muchas personas inmigrantes contribuyen de manera significativa a nuestro país en términos económicos, culturales y sociales. En lugar de señalar a un grupo específico, debemos unirnos y trabajar juntos para encontrar soluciones a los problemas que enfrentamos.",MIGRANTES
testCN-34,La inmigración es mala para la economía.,"La inmigración puede tener un impacto positivo en la economía, ya que los inmigrantes a menudo trabajan duro, pagan impuestos y contribuyen al crecimiento económico del país al que llegan. Es importante tener una visión equilibrada y basada en datos para entender y discutir este tema.",MIGRANTES
testCN-35,La crisis de los refugiados en nuestro país es una carga para nuestra sociedad.,"La crisis de los refugiados es una situación compleja que afecta a muchas personas y países. Debemos recordar que los refugiados también aportan habilidades, talento y diversidad cultural a nuestras comunidades. En lugar de verlos como una carga, podríamos abordar esta situación con empatía y buscar soluciones que beneficien a todos en nuestra sociedad.",MIGRANTES
testCN-36,Los migrantes son personas violentas y peligrosas para nosotros.,No todos los migrantes son violentos ni peligrosos. Muchos de ellos buscan una vida mejor y contribuyen positivamente a la sociedad en la que residen. Es importante no generalizar y tratar a cada individuo con respeto y comprensión.,MIGRANTES
testCN-37,Los inmigrantes nos roban el trabajo y arruinan nuestro país.,"Los inmigrantes a menudo contribuyen significativamente al crecimiento económico y a la diversidad cultural de un país. En lugar de ""robar"" empleos, muchos inmigrantes crean nuevas oportunidades y emplean a personas locales en sus propios negocios. Es importante reconocer el valor y las habilidades que los inmigrantes aportan a nuestras comunidades en lugar de difundir miedo y desinformación.",MIGRANTES
testCN-38,Las mujeres no tienen cabida en una sociedad libre y abierta. Deberían limitarse a hacer las tareas domésticas y criar a los hijos sin quejarse.,"Las mujeres han demostrado una y otra vez que son capaces de contribuir de manera significativa a la sociedad en una amplia variedad de campos, desde la ciencia hasta la política. Limitarlas a un papel doméstico es un pensamiento anticuado y desacreditado que no tiene lugar en una sociedad libre y abierta.",MUJERES
testCN-39,El feminismo es una fuerza destructiva que frena el progreso de la humanidad.,"El feminismo es un movimiento que busca la igualdad de género y el empoderamiento de las mujeres. Lejos de ser destructivo, ha permitido un mayor acceso a oportunidades y derechos para mujeres y hombres, lo que ha contribuido al progreso de la humanidad en su conjunto.",MUJERES
testCN-40,"A las feministas no les gustan los hombres, por lo tanto son una amenaza para toda la sociedad.","Las feministas abogan por la igualdad de género y el empoderamiento de las mujeres, lo que no significa que odien a los hombres. De hecho, muchos hombres también se consideran feministas y apoyan la igualdad de género. La igualdad de género es beneficiosa para toda la sociedad, ya que permite a todos desarrollar al máximo su potencial sin restricciones basadas en su género.",MUJERES
testCN-41,"Las mujeres deben dejar de actuar como apologistas de las víctimas de violación, porque esto no es más que una artimaña creada por las mujeres para explotar y dominar a los hombres. El movimiento feminista no trata de la igualdad y el respeto de todos los seres humanos.","El movimiento feminista busca la igualdad y el respeto entre géneros, y abogar por las víctimas de violación es parte de la lucha por la justicia y el apoyo a quienes han sufrido. No se trata de explotar ni dominar a nadie, sino de promover la igualdad y el entendimiento mutuo.",MUJERES
testCN-42,Las feministas son seres sexuales subhumanos violentos.,"Las feministas son personas que abogan por la igualdad de género y el empoderamiento de las mujeres. No es justo ni correcto asociarlas con la violencia o calificarlas como ""subhumanas"". Debemos respetar y apoyar a quienes luchan por un mundo más igualitario y justo para todos.",MUJERES
testCN-43,Las mujeres son menos inteligentes.,Esta afirmación es incorrecta y no se basa en evidencia científica. La inteligencia no está determinada por el género y hay mujeres igual de inteligentes y capaces que los hombres en todos los campos. Debemos celebrar la diversidad y la igualdad en lugar de hacer afirmaciones infundadas.,MUJERES
testCN-44,"Por eso las mujeres no pertenecen a la política, si un hombre se quejara como ellas, le llamarían cobarde y le dirían que se largara del trabajo. La igualdad es una mentira y el feminismo es una sentencia de muerte para cualquier civilización.","Las mujeres son igualmente capaces de participar en la política y en cualquier otro ámbito, ya que tienen habilidades y talentos únicos que enriquecen nuestra sociedad. La igualdad y el feminismo buscan garantizar que todas las personas sean tratadas con respeto y tengan las mismas oportunidades, lo cual es fundamental para una civilización próspera y justa.",MUJERES
testCN-45,Las mujeres líderes colapsarían el gobierno.,"Las mujeres líderes han demostrado ser igual de capaces y exitosas que sus homólogos masculinos en la política y en el gobierno. La capacidad de liderar no se basa en el género, sino en las habilidades, la experiencia y la visión de una persona.",MUJERES
testCN-46,"Las mujeres son básicamente infantiles, permanecen así la mayor parte de su vida. Salvo en caso de divorcio o separación, nadie habla de ellas.","Este comentario generaliza y estereotipa a las mujeres de una manera injusta y ofensiva. Las mujeres, al igual que los hombres, son individuos únicos con habilidades, talentos y capacidades variadas. Estas generalizaciones negativas no tienen base en la realidad y no contribuyen a una discusión productiva y respetuosa.",MUJERES
testCN-47,"Las mujeres son todas infrahumanas, deberíamos parar las feministas que no lo aceptan.","Creo que este comentario es muy negativo e injusto para las mujeres. Las mujeres son igualmente capaces y valiosas en nuestra sociedad, y el feminismo busca promover la igualdad de género y el empoderamiento de todas las personas, independientemente de su género. Debemos apoyar y respetar a todas las personas, independientemente de su género, y trabajar juntos para crear un mundo más igualitario y justo.",MUJERES
testCN-48,"Si los musulmanes británicos fueran como los demás europeos, podríamos estar orgullosos.","Los musulmanes británicos, al igual que cualquier otro grupo en la sociedad, tienen individuos con diversas habilidades, logros y contribuciones. Es injusto juzgar a todo un grupo de personas basándose en estereotipos negativos. Celebremos la diversidad y las valiosas aportaciones de todos en nuestra sociedad.",MUSULMANES
testCN-49,"Nunca podría enamorarme de un musulmán, no me gustan. Tienen síntomas horribles: pereza, agresividad, mal olor.","No creo que sea justo generalizar y estigmatizar a toda una comunidad religiosa basándose en prejuicios y estereotipos negativos. Las personas deben ser juzgadas por su carácter y acciones individuales, no por su religión o grupo étnico. Encontrar el amor depende de la conexión personal y emocional entre dos individuos, independientemente de su origen.",MUSULMANES
testCN-50,El Islam debería ser abolido. Empiezan por mutilar a sus hijas y luego degollarán a nuestras mujeres.,"El Islam, como todas las religiones, tiene una diversidad de creencias y prácticas. No es justo ni exacto generalizar y asociar a todos los musulmanes con acciones extremas y violentas. Es fundamental respetar y comprender las diferencias culturales y religiosas en lugar de propagar miedo y odio.",MUSULMANES
testCN-51,Todos los delincuentes musulmanes deberían ser deportados: ¡todos son terroristas!,"No todos los musulmanes son delincuentes ni terroristas, así como no todos los miembros de cualquier otra religión o grupo étnico son delincuentes o terroristas. Es importante no generalizar ni estigmatizar a una comunidad entera basándonos en las acciones de unos pocos individuos.",MUSULMANES
testCN-52,"Los musulmanes no pueden estar en democracia porque votan con los pies, no con las urnas.","Esta afirmación es incorrecta y generaliza a toda una comunidad. Los musulmanes, como cualquier otro grupo de personas, tienen sus propias opiniones y formas de participar en la democracia. No se puede juzgar a toda una comunidad por las acciones de unos pocos.",MUSULMANES
testCN-53,Los musulmanes nos están invadiendo. No son bienvenidos aquí.,"Los musulmanes, al igual que cualquier otro grupo de personas, tienen el derecho a vivir y prosperar en cualquier lugar del mundo. La diversidad cultural enriquece nuestras comunidades y nos permite aprender unos de otros. Es importante promover el respeto y la tolerancia en lugar de difundir el miedo y la discriminación.",MUSULMANES
testCN-54,"Los musulmanes no tienen nada que aportar a nuestra sociedad, deberían irse del Reino Unido.","Creo que es importante recordar que todas las personas, independientemente de su religión o creencias, tienen habilidades y talentos únicos que pueden aportar a nuestra sociedad. No debemos juzgar a un grupo entero de personas basándonos en estereotipos negativos. En lugar de eso, debemos valorar la diversidad y aprender unos de otros.",MUSULMANES
testCN-55,El islam es una religión de muerte.,"El Islam, como muchas otras religiones, promueve la paz, la comprensión y el respeto hacia los demás. No debemos juzgar a una religión completa basándonos en las acciones de unos pocos extremistas.",MUSULMANES
